ticker;company_BC;tickersect;sector;;;;;;
AXAS;Abraxas Petroleum Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
AE;Adams Resources & Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
AAV;Advantage Oil & Gas Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
AFRNF;Afren PLC;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
AOIFF;Africa Oil Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ALME;Alamo Energy Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
AOSDF;Alberta Oilsands Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ALGA;Algae International Group Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ALJ;Alon USA Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ALDW;Alon USA Partners L.P.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ATGFF;AltaGas Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ALVOF;Alvopetro Energy Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
OREO;American Liberty Petroleum Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
AMZG;American Eagle Energy Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
AAPH;American Petro-Hunter Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ASEN;American Standard Energy Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
APC;Anadarko Petroleum Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
AMCF;Andatee China Marine Fuel Services Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
AR;Antero Resources Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
APA;Apache Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
AREX;Approach Resources Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
AETUF;Arc Resources Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ANGYF;Argent Energy Trust Un;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
AOIL;Armada Oil Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
AEYIF;Arsenal Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ATHOF;Athabasca Oil Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ARP.PD;Atlas Resource Partners L.P. 8.625% Cum. Redeem. Perp. Pfd. Cl D;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ARP;Atlas Resource Partners L.P.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ATXDY;AusTex Oil Ltd. ADS;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
AUTX;Automated-X Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
BEEI;Bald Eagle Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
BNKJF;Bankers Petroleum Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
BRN;Barnwell Industries Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
BYSD;Bayside Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
BTE;Baytex Energy Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
BEPTF;Beach Energy Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
BCHEY;Beach Energy Ltd. ADS;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
BXE;Bellatrix Exploration Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
BBG;Bill Barrett Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
BIREF;Birchcliff Energy Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
BBRD;Blackbird International Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
BNKPF;BNK Petroleum Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
BCEI;Bonanza Creek Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
BNEFF;Bonterra Energy Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
BPT;BP Prudhoe Bay Royalty Trust;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
BPIGF;BPI Energy Holdings Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
BPZ;BPZ Resources Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
BBEPP;BreitBurn Energy Partners L.P. 8.25% Cum. Redeem. Perp. Pfd. Series A;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
BBEP;BreitBurn Energy Partners L.P.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
BNXR;Brinx Resources Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
BMIN;Britannia Mining Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
COG;Cabot Oil & Gas Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
CRC;California Resources Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
CPE.PA;Callon Petroleum Co. 10% Cum. Pfd. Series A;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
CPE;Callon Petroleum Co.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
CAK;CAMAC Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
CNNEF;Canacol Energy Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
CBIS;Cannabis Science Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
CEGX;Cardinal Energy Group Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
CRZO;Carrizo Oil & Gas Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
CSCE;Cascade Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
CAZFF;Caza Oil & Gas Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
CNQ;Canadian Natural Resources Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
COSWF;Canadian Oil Sands Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
CVE;Cenovus Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
CNTO;Centor Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
CYPE;Century Petroleum Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
CGXEF;CGX Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
COGLF;Chelsea Oil & Gas Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
LNG;Cheniere Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
CQH;Cheniere Energy Partners L.P. Holdings LLC;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
CHKDG;Chesapeake Energy Corp. Conv. Pfd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
CHK;Chesapeake Energy Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
CHK.PD;Chesapeake Energy Corp. 4.5% Cum. Conv. Pfd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
CHKR;Chesapeake Granite Wash Trust;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
XEC;Cimarex Energy Co.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
CKX;CKX Lands Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
CWEI;Clayton Williams Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
CWEI;Clayton Williams Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
CEOHF;CNOOC Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
CEO;CNOOC Ltd. ADS;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
COLV;Coastal Integrated Services Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
CIE;Cobalt International Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
CRK;Comstock Resources Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
CXO;Concho Resources Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
MCF;Contango Oil & Gas Co.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
CPPXF;Continental Energy Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
CLR;Continental Resources Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
SWMM;CPSM Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
CPG;Crescent Point Energy Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
CRT;Cross Timbers Royalty Trust;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
CWVLF;Crown Point Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
CBNR;Cubic Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
CWLXF;Curlew Lake Resources Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
CVI;CVR Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
CVRR;CVR Refining L.P.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
DBRM;Daybreak Oil & Gas Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
DWOG;Deep Well Oil & Gas Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
DTHRF;Deethree Exploration Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
DEJ;Dejour Energy Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
DGRLY;Delek Group Ltd. ADS;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
DK;Delek US Holdings Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
DNR;Denbury Resources Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
DVN;Devon Energy Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
DOM;Dominion Resources Black Warrior Trust;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
DMLP;Dorchester Minerals L.P.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ECCE;Eagle Ford Oil & Gas Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
EROC;Eagle Rock Energy Partners L.P.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ESTE;Earthstone Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
EWPMF;East West Petroleum Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ECT;ECA Marcellus Trust I;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ECR;Eclipse Resources Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
EFIR;EGPI Firecreek Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
EOX;Emerald Oil Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
EEGC;Empire Energy Corp. International;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
EMPR;Empire Petroleum Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ECA;Encana Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ENDRQ;Endeavour International Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
NDRO;Enduro Royalty Trust;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
EGN;Energen Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ELED;Energie Holdings Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
EXXI;Energy XXI Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ENRJ;EnerJex Resources Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ERF;Enerplus Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ENRJ.P;EnerJex Resources Inc. 10% Cum. Redeem. Pfd. Series A;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ENQUF;EnQuest PLC;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ENSV;Enservco Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
EOG;EOG Resources Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
EOPT;Eos Petro Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
EPE;EP Energy Corp. Cl A;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
EPSEF;Epsilon Energy Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
EQT;EQT Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ERHE;ERHC Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ESCRP;Escalera Resources Co. Series A Cum. Pfd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ESCR;Escalera Resources Co.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
EVEP;EV Energy Partners L.P.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
EPM.PA;Evolution Petroleum Corp. 8.5% Cum. Pfd. Series A;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
EPM;Evolution Petroleum Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
XCO;EXCO Resources Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
FOLGF;Falcon Oil & Gas Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
FEEC;Far East Energy Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
FPP.WS;FieldPoint Petroleum Corp. Wt;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
FPP;FieldPoint Petroleum Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
FORC;Force Minerals Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
FRHLF;Freehold Royalties Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
FSNR;Freestone Resources Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
FXENP;FX Energy Inc. 9.25% Conv. Pfd. Series B;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
FXEN;FX Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
GSXN;Gasco Energy Inc;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
GASE;GASE Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
GST.PA;Gastar Exploration Inc. 8.625% Cum. Pfd. Series A;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
GST.PB;Gastar Exploration Ltd. 10.75% Cum. Pfd. Series B;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
GST;Gastar Exploration Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
GNRG;Gateway Energy Corp;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
GDPAN;Goodrich Petroleum Corp. Conv. Perp. Pfd. Series B;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
GEGYF;Genel Energy PLC;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
GMET;GeoMet Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
GPRK;GeoPark Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
GLRP;Glen Rose Petroleum Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
GLP;Global Partners LP;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
GLRI;Glori Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
GDP.PC;Goodrich Petroleum Corp. Dep. Pfd. (Rep. 1/1000th Share of 10% Cum. Pfd. Series C);DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
GDP.PD;Goodrich Petroleum Corp. Dep. Pfd. (Rep. 1/1000th Share of 9.75% Pfd. Series D);DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
GDP;Goodrich Petroleum Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
GTE;Gran Tierra Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
GFOX;Gray Fox Petroleum Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
GULTU;Gulf Coast Ultra Deep Royalty Trust;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
GFKSY;Gulf Keystone Petroleum Ltd. ADS;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
GUKYF;Gulf Keystone Petroleum Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
GLFE;Gulf United Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
GPOR;Gulfport Energy Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
HKRCP;Halcon Resources Corp. Pfd. Series A;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
HK;Halcon Resources Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
HK;Halcon Resources Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
HNR;Harvest Natural Resources Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
HMAX;HDIMAX Media Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
HENI;Hinto Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
HENC;Holloman Energy Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
HFC;HollyFrontier Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
HUSA;Houston American Energy Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
HRTPY;HRT Participacoes em Petroleo S.A. GDR;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
HGT;Hugoton Royalty Trust Un;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
HECC;Hydrocarb Energy Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
HDY;Hyperdynamics Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
RXDX;Ignyta Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
IPRC;Imperial Resources Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
IDNG;Independence Energy Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
IFNY;Infinity Energy Resources Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
IPXHY;Inpex Corp. ADS;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ISRL;Isramco Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
IVAN;Ivanhoe Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
JYHW;Jayhawk Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
JONE;Jones Energy Inc. Cl A;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
KEEKF;Keek Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
KDKN;Kodiak Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
KOS;Kosmos Energy Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
KLYCY;Kunlun Energy Co. Ltd. ADS;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
LSDC;Landstar Development Group Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
LRDC;Laredo Oil Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
LPI;Laredo Petroleum Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
LEGPF;Legacy Oil + Gas Inc. Cl A;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
LGCY;Legacy Reserves L.P.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
LGCYP;Legacy Reserves L.P. 8% Fixed-to-Floating Cum. Redeem. Perp. Pfd. Series A;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
LGCYO;Legacy Reserves L.P. 8% Series B Fixed-to-Floating Cum. Redeem. Perp. Pfd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
LCRTF;Leucrotta Exploration Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
LXRP;Lexaria Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
LHPT;Lighthouse Petroleum Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
LSTMF;Lightstream Resources Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
LLEX;Lilis Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
LNCGY;Linc Energy Ltd. ADS;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
LINE;Linn Energy LLC;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
LNCO;LinnCo LLC;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
LNGLF;Liquefied Natural Gas Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
LRTR;LL&E Royalty Trust;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
LNREF;Lonestar Resources Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
WFREF;Long Run Exploration Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
LPIH;Longwei Petroleum Investment Holding Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
LRE;LRR Energy L.P.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
LEI;Lucas Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
LVLEF;Lynden Energy Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
MDLNF;Madalena Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
MPET;Magellan Petroleum Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
MHR.PC;Magnum Hunter Resources Corp. 10.25% Cum. Perp. Pfd. Series C;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
MHR.PD;Magnum Hunter Resources Corp. 8.00% Cum. Pfd. Series D;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
MHR;Magnum Hunter Resources Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
MKRYF;Manitok Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
MPC;Marathon Petroleum Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
MARPS;Marine Petroleum Trust Un;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
FISH;Marlin Midstream Partners LP;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
MAUXF;Mart Resources Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
MTDR;Matador Resources Co.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
MCWEF;MCW Energy Group Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
MEGEF;MEG Energy Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
MEMP;Memorial Production Partners L.P. Un;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
MRD;Memorial Resource Development Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
MTR;Mesa Royalty Trust;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
MXC;Mexco Energy Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
MHR.PE;Magnum Hunter Resources Corp. Dep Pfd. (Rep. 1/1000th 8.0% Cum. Conv. Pfd. Series E);DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
MEP;Midcoast Energy Partners LP;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
MCEP;Mid-Con Energy Partners L.P.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
MPO;Midstates Petroleum Co. Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
MILL.PD;Miller Energy Resources Inc. 10.5% Fixed Rate/Floating Rate Cum. Redeem. Pfd. Series D;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
MILL.PC;Miller Energy Resources Inc. 10.75% Cum. Pfd. Series C;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
MILL;Miller Energy Resources Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
MINE;Minerco Resources Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
MNAP;MNP Petroleum Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
MNVWF;Mountainview Energy Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
MVO;MV Oil Trust;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
NRT;North European Oil Royalty Trust;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
NSLP;New Source Energy Partners L.P.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
NWSTF;New Standard Energy Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
NWTR;New Western Energy Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
NZERF;New Zealand Energy Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
NFX;Newfield Exploration Co.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
NKRSF;Niko Resources Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
NBL;Noble Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
NORX;Norstra Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
NSRS;North Springs Resources Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
NFSHF;Northern Offshore Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
NOG;Northern Oil & Gas Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
NAMG;North American Oil & Gas Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
OAS;Oasis Petroleum Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
OXY;Occidental Petroleum Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
OISHF;Oil Search Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
OGXPY;Oleo e Gas Participacoes S/A ADS;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
OOAG;OMDA Oil & Gas Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
OMTK;Omnitek Engineering Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
OEDV;Osage Exploration & Development Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
ROYT;Pacific Coast Oil Trust;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
PEGFF;Pacific Rubiales Energy Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
PDPYF;Painted Pony Petroleum Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
POEFF;Pan Orient Energy Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
PARR;Par Petroleum Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
PDGO;Paradigm Oil & Gas Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
PRMRF;Paramount Resources Ltd.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
PKPL;Park Place Energy Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
PE;Parsley Energy Inc. Cl A;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
PBF;PBF Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
PDCE;PDC Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;;;;
