Id;ticker_BCh;company_BCh;tickersect;sector;Market CapFV;ExchangeFV;Country
6167;RDXH;Redux Holdings Inc.;DJUSSP;SPECIALTY FINANCE;;;
6399;RWT;Redwood Trust Inc.;DJUSMR;MORTGAGE;1471.22;NYSE;USA
2507;ENL;Reed Elsevier N.V. ADS;DJUSPB;PUBLISHING;;;
6383;RUK;Reed Elsevier PLC ADS;DJUSPB;PUBLISHING;;;
6175;REED;Reeds Inc.;DJUSSD;SOFT DRINKS;;;
6176;REED;Reeds Inc.;DJUSSD;SOFT DRINKS;;;
6351;RSCF;Reflect Scientific Inc.;DJUSMS;MEDICAL SUPPLIES;;;
6182;REGRF;Reg Technologies Inc.;DJUSFE;INDUSTRIAL MACHINERY;;;
6219;RGC;Regal Entertainment Group Cl A;DJUSRQ;RECREATIONAL SERVICES;3154.63;NYSE;USA
6117;RBC;Regal-Beloit Corp.;DJUSEC;ELECTRICAL COMPONENTS & EQUIPMENT;3076.76;NYSE;USA
6218;RGBP;Regen BioPharma Inc.;DJUSPR;PHARMACEUTICALS;;;
6178;REG;Regency Centers Corp.;DJUSRL;RETAIL REITS;5425.23;NYSE;USA
6180;REG.PG;Regency Centers Corp. 6% Cum. Redeem. Pfd. Series 7;DJUSRL;RETAIL REITS;;;
6179;REG.PF;Regency Centers Corp. 6.625% Cum. Redeem. Pfd. Series 6;DJUSRL;RETAIL REITS;;;
6228;RGP;Regency Energy Partners L.P.;DJUSOS;EXPLORATION & PRODUCTION ;12689.01;NYSE;USA
6227;RGP;Regency Energy Partners L.P.;DJUSOS;EXPLORATION & PRODUCTION ;12689.01;NYSE;USA
6181;REGN;Regeneron Pharmaceuticals Inc.;DJUSBT;BIOTECHNOLOGY;40680.68;NASDAQ;USA
6230;RGRX;RegeneRX Biopharmaceuticals Inc.;DJUSPR;PHARMACEUTICALS;;;
6224;RGIN;Regenicin Inc.;DJUSBT;BIOTECHNOLOGY;;;
6278;RM;Regional Management Corp.;DJUSSF;CONSUMER FINANCE;219.93;NYSE;USA
6209;RF;Regions Financial Corp.;DJUSBK;BANKS;13013.13;NYSE;USA
6210;RF.PA;Regions Financial Corp. Dep. Pfd. (Rep. 1/40th Perp. Pfd. Series A);DJUSBK;BANKS;;;
6211;RF.PB;Regions Financial Corp. Dep. Pfd. (Rep. 1/40th Perp. Pfd. Series B);DJUSBK;BANKS;;;
6231;RGS;Regis Corp.;DJUSCS;SPECIALIZED CONSUMER SERVICES;883.72;NYSE;USA
6226;RGLS;Regulus Therapeutics Inc.;DJUSBT;BIOTECHNOLOGY;751.95;NASDAQ;USA
6217;RGA;Reinsurance Group of America Inc.;DJUSIU;REINSURANCE;5511.54;NYSE;USA
6417;RZA;Reinsurance Group of America Inc. 6.2% Fixed-to-Floating Rate Sub. Deb. 2042;DJUSIU;REINSURANCE;;;
6184;REIS;Reis Inc.;DJUSES;REAL ESTATE SERVICES;254.86;NASDAQ;USA
6350;RS;Reliance Steel & Aluminum Co.;DJUSST;IRON & STEEL;5075.85;NYSE;USA
6186;RELV;Reliv International Inc.;DJUSFO;FARMING & FISHING;15.73;NASDAQ;USA
6397;RWC;RELM Wireless Corp.;DJUSCT;TELECOMMUNICATIONS EQUIPMENT;;;
6277;RLYP;Relypsa Inc.;DJUSPR;PHARMACEUTICALS;655.86;NASDAQ;USA
4537;MARK;Remark Media Inc.;DJUSPB;PUBLISHING;61.05;NASDAQ;USA
6290;RMTD;Remote Dynamics Inc.;DJUSDV;COMPUTER SERVICES;;;
6187;REMY;Remy International Inc.;DJUSAT;AUTO PARTS;572.3;NASDAQ;USA
6302;RNR;RenaissanceRe Holdings Ltd.;DJUSIU;REINSURANCE;3710;NYSE;Bermuda
6304;RNR.PE;RenaissanceRe Holdings Ltd. 5.375% Pfd. Series E;DJUSIU;REINSURANCE;;;
6303;RNR.PC;RenaissanceRe Holdings Ltd. 6.08% Pref. Shs Series C;DJUSIU;REINSURANCE;;;
6305;RNST;Renasant Corp.;DJUSBK;BANKS;881.93;NASDAQ;USA
6298;RNHEF;Renhe Commercial Holdings Co. Ltd.;DJUSEH;REAL ESTATE HOLDING & DEVELOPMENT;;;
6190;RENN;Renren Inc. Cl A ADS;DJUSCS;SPECIALIZED CONSUMER SERVICES;;;
6145;RCII;Rent-A-Center Inc.;DJUSCS;SPECIALIZED CONSUMER SERVICES;1547.98;NASDAQ;USA
6375;RTK;Rentech Inc.;DJUSCX;SPECIALTY CHEMICALS;335.31;NASDAQ;USA
